ID: 00012679, Ngày phát hành: 06/06/2024, Kỳ kê khai: Tháng 6/2024, Khách hàng: TRUNG TÂM KỸ THUẬT TIÊU CHUẨN ĐO LƯỜNG CHẤT LƯỢNG 3
ID: 00000769, Ngày phát hành: 18/06/2024, Kỳ kê khai: Tháng 6/2024, Khách hàng: CÔNG TY TNHH MTV VĨNH HƯNG
ID: 00000115, Ngày phát hành: 25/06/2024, Kỳ kê khai: Tháng 6/2024, Khách hàng: CÔNG TY TNHH MỘT THÀNH VIÊN HOÀNG TRỌNG TÝ
ID: 00002862, Ngày phát hành: 15/06/2024, Kỳ kê khai: Tháng 6/2024, Khách hàng: CÔNG TY TNHH DANH ĐẶNG
ID: 00034083, Ngày phát hành: 14/06/2024, Kỳ kê khai: Tháng 6/2024, Khách hàng: CÔNG TY CỔ PHẦN CÔNG NGHỆ HỢP LONG
ID: 00005255, Ngày phát hành: 12/06/2024, Kỳ kê khai: Tháng 6/2024, Khách hàng: CÔNG TY TNHH THƯƠNG MẠI THÁI SƠN NAM
ID: 00001696, Ngày phát hành: 11/06/2024, Kỳ kê khai: Tháng 6/2024, Khách hàng: CÔNG TY TNHH ĐỒNG KỸ THUẬT KOREA VIỆT NAM
ID: 00033208, Ngày phát hành: 11/06/2024, Kỳ kê khai: Tháng 6/2024, Khách hàng: CÔNG TY CỔ PHẦN CÔNG NGHỆ HỢP LONG
ID: 00003708, Ngày phát hành: 14/06/2024, Kỳ kê khai: Tháng 6/2024, Khách hàng: CÔNG TY TNHH THƯƠNG MẠI KỸ THUẬT THIÊN LỘC PHÁT
ID: 00002669, Ngày phát hành: 14/06/2024, Kỳ kê khai: Tháng 6/2024, Khách hàng: CÔNG TY CỔ PHẦN SẢN XUẤT CÔNG NGHIỆP VÀ THƯƠNG MẠI VÍT VIỆT
ID: 00033926, Ngày phát hành: 13/06/2024, Kỳ kê khai: Tháng 6/2024, Khách hàng: CÔNG TY CỔ PHẦN CÔNG NGHỆ HỢP LONG
ID: 00033696, Ngày phát hành: 13/06/2024, Kỳ kê khai: Tháng 6/2024, Khách hàng: CÔNG TY CỔ PHẦN CÔNG NGHỆ HỢP LONG
ID: 00000389, Ngày phát hành: 13/06/2024, Kỳ kê khai: Tháng 6/2024, Khách hàng: CÔNG TY CỔ PHẦN SẢN XUẤT VÀ THƯƠNG MẠI ĐIỆN BÌNH SƠN
ID: 00005253, Ngày phát hành: 12/06/2024, Kỳ kê khai: Tháng 6/2024, Khách hàng: CÔNG TY TNHH THƯƠNG MẠI THÁI SƠN NAM
ID: 00033546, Ngày phát hành: 12/06/2024, Kỳ kê khai: Tháng 6/2024, Khách hàng: CÔNG TY CỔ PHẦN CÔNG NGHỆ HỢP LONG
ID: 00005256, Ngày phát hành: 12/06/2024, Kỳ kê khai: Tháng 6/2024, Khách hàng: CÔNG TY TNHH THƯƠNG MẠI THÁI SƠN NAM
ID: 00005254, Ngày phát hành: 12/06/2024, Kỳ kê khai: Tháng 6/2024, Khách hàng: CÔNG TY TNHH THƯƠNG MẠI THÁI SƠN NAM
ID: 00003432, Ngày phát hành: 11/06/2024, Kỳ kê khai: Tháng 6/2024, Khách hàng: Công ty Cổ phần Thương Mại Nam Á
ID: 00001695, Ngày phát hành: 11/06/2024, Kỳ kê khai: Tháng 6/2024, Khách hàng: CÔNG TY TNHH ĐỒNG KỸ THUẬT KOREA VIỆT NAM
ID: 00001534, Ngày phát hành: 11/06/2024, Kỳ kê khai: Tháng 6/2024, Khách hàng: CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ KỸ THUẬT ĐIỆN NGỌC PHƯỚC
ID: 00003422, Ngày phát hành: 11/06/2024, Kỳ kê khai: Tháng 6/2024, Khách hàng: Công ty Cổ phần Thương Mại Nam Á
ID: 00000066, Ngày phát hành: 11/06/2024, Kỳ kê khai: Tháng 6/2024, Khách hàng: CÔNG TY TNHH GIANG KIỀU
ID: 00003616, Ngày phát hành: 11/06/2024, Kỳ kê khai: Tháng 6/2024, Khách hàng: CÔNG TY TNHH THƯƠNG MẠI KỸ THUẬT THIÊN LỘC PHÁT
ID: 00000067, Ngày phát hành: 11/06/2024, Kỳ kê khai: Tháng 6/2024, Khách hàng: CÔNG TY TNHH GIANG KIỀU
ID: 00003578, Ngày phát hành: 11/06/2024, Kỳ kê khai: Tháng 6/2024, Khách hàng: CÔNG TY TNHH THƯƠNG MẠI KỸ THUẬT THIÊN LỘC PHÁT
ID: 00000065, Ngày phát hành: 11/06/2024, Kỳ kê khai: Tháng 6/2024, Khách hàng: CÔNG TY TNHH GIANG KIỀU
ID: 00002702, Ngày phát hành: 09/05/2024, Kỳ kê khai: Tháng 5/2024, Khách hàng: CÔNG TY TNHH THƯƠNG MẠI KỸ THUẬT THIÊN LỘC PHÁT
ID: 00000633, Ngày phát hành: 05/06/2024, Kỳ kê khai: Tháng 6/2024, Khách hàng: CÔNG TY TNHH MỘT THÀNH VIÊN ĐẠT ANH TRANG
ID: 00032801, Ngày phát hành: 10/06/2024, Kỳ kê khai: Tháng 6/2024, Khách hàng: CÔNG TY CỔ PHẦN CÔNG NGHỆ HỢP LONG
ID: 00003555, Ngày phát hành: 10/06/2024, Kỳ kê khai: Tháng 6/2024, Khách hàng: CÔNG TY TNHH THƯƠNG MẠI KỸ THUẬT THIÊN LỘC PHÁT
ID: 00000021, Ngày phát hành: 27/06/2024, Kỳ kê khai: Tháng 6/2024, Khách hàng: CÔNG TY CỔ PHẦN SCG VIỆT NAM
ID: 00001274, Ngày phát hành: 27/06/2024, Kỳ kê khai: Tháng 6/2024, Khách hàng: CHI NHÁNH CÔNG TY TNHH TIẾP VẬN THĂNG LONG TẠI THÀNH PHỐ HỒ CHÍ MINH
ID: 00000289, Ngày phát hành: 21/06/2024, Kỳ kê khai: Tháng 6/2024, Khách hàng: CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI DỊCH VỤ VẬN TẢI SẮT THÉP HOÀNG PHÁT TÀI
ID: 00006091, Ngày phát hành: 26/06/2024, Kỳ kê khai: Tháng 6/2024, Khách hàng: CÔNG TY TNHH SG SAGAWA VIỆT NAM
